Language,poison_ordeal,evil_eye,cannibalism,unconscious,conscious,innate,acquired,divination,coven,substance,familiars,hyena_2,owl_3,leopard_4,anteater_5,insect_6,snake_7,human_like_8,spirit_ghost_9,baboon_10,animal_human_11,elderly,male_only,female_only,both_sex,children,deaths_caused,inheritance_maternal,inheritance_paternal,familiars_supernatural,familiars_animals,longitude,latitude
JE22_Haya,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,-1.8
JE11_Runyoro,0,1,1,0,1,NA,NA,1,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,NA,NA,1,0,30,1.1
JE12_Rutooro,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,NA,NA,NA,NA,30.05,0.96
JE14_Rukiga,1,0,NA,NA,NA,NA,NA,1,NA,NA,1,0,0,0,0,0,0,0,1,0,0,NA,0,1,0,NA,1,NA,NA,1,0,30,-3
JE24_Kerebe,NA,NA,0,0,1,1,1,NA,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,33.25,-2.05
JE15_Luganda,1,0,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,1,NA,NA,33.7,0.5
JE31_Lumasaaba,0,1,1,NA,NA,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,NA,NA,33.96,0.5
JE31c_Bukusu,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,34.7,0.7
JD62_Rundi,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,1,1,NA,NA,29.9,-3.3
E72a_Giryama,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,39.6,-3.35
G12_Kagulu,0,NA,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,35.7,-6.2
G32_Kwere,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,1,NA,NA,NA,NA,38.45,-6.6
G35_Luguru,1,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,37.5,-6.8
G34_Nguungulu,1,0,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,1,0,NA,NA,37.5,-6.2
G31_Zigua,1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,1,NA,NA,NA,NA,38.4,-5.6
P21_Yao,1,NA,1,NA,NA,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,NA,NA,NA,NA,35.6,-14.5
N12_Ngoni,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,-12.55
N11_Manda,1,NA,1,1,1,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,NA,NA,NA,NA,34.7,-10.5
G11_Gogo,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,NA,NA,NA,NA,35.7,-6.2
G63_Bena,1,0,NA,0,1,1,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,35.1,-9.2
G62_Hehe,1,NA,NA,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,35.6,-8
E46_Sonjo,0,1,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,0,1,NA,NA,35.78,-2.15
E55_Kamba,1,1,NA,NA,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,NA,NA,NA,NA,38,-1.5
E51_Kikuyu,1,1,0,1,1,NA,NA,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,NA,NA,0,1,36.75,-0.45
